@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,300,58,kobieta,13,1658,1,26,48,0
splacona_cz,500,62,kobieta,13,1900,1,86,48,0
odmowa,200,74,mezczyzna,13,770,0,110,48,0
splacona_cz,200,43,mezczyzna,12,1952.35,0,0,11,0
splacona_cz,200,54,mezczyzna,12,1030,1,5,19,7
splacona_cz,300,51,kobieta,11,2065.98,1,178,48,5
splacona,300,38,mezczyzna,12,1884.29,0,17,7,14
splacona_cz,600,50,kobieta,11,3200,1,51,48,0
splacona_cz,1000,56,mezczyzna,11,2031,0,112,48,0
splacona,400,26,mezczyzna,11,3000,0,38,48,11
splacona_cz,300,45,mezczyzna,12,670,1,6,6,2
windykacja,350,71,kobieta,13,1721,1,196,48,2677
windykacja,200,60,kobieta,13,1029.7,0,6,48,2677
splacona_cz,285.97,37,kobieta,98,1200,1,43,48,2
splacona_cz,280.11,39,kobieta,11,1770,1,85,48,2
splacona,400,54,mezczyzna,99,2500,0,2,1,83
splacona_cz,500,61,mezczyzna,11,1250,1,62,48,0
splacona_cz,200,53,kobieta,16,749.28,1,62,48,0
splacona_cz,400,68,kobieta,16,980,1,129,48,0
odmowa,300,70,mezczyzna,13,1100,0,63,48,0
odmowa,1000,24,mezczyzna,11,10000,0,6,48,0
splacona,400,61,kobieta,13,1977,0,52,48,0
splacona_cz,277.4,61,kobieta,13,975,1,24,48,0
splacona_cz,600,56,mezczyzna,11,3335,1,435,48,0
splacona_cz,300,55,kobieta,98,980,0,6,48,0
odmowa,200,63,mezczyzna,13,1742.76,0,38,48,0
splacona_cz,789.27,63,kobieta,13,860,1,77,48,2
odmowa,500,47,mezczyzna,16,1700,0,245,48,0
splacona,300,69,kobieta,16,1401,0,73,48,15
splacona_cz,200,52,kobieta,99,1100,0,48,1,0
splacona,377.92,26,kobieta,11,1500,1,21,48,17
splacona_cz,500,32,kobieta,11,3100,1,119,48,0
splacona_cz,400,36,kobieta,11,2700,1,119,48,0
windykacja,200,61,kobieta,13,750,0,62,48,2675
splacona_cz,200,59,kobieta,13,784,0,36,48,0
splacona_cz,300,65,mezczyzna,13,2110,1,99,48,0
splacona_cz,250,61,mezczyzna,99,685,1,2,1,1
splacona_cz,300,66,mezczyzna,13,1300,0,75,48,7
splacona_cz,200,74,kobieta,13,1026,1,247,48,0
splacona,200,60,mezczyzna,13,907,0,5,48,165
splacona_cz,200,31,kobieta,12,1032.34,1,1,10,0
splacona_cz,1569.98,47,mezczyzna,11,2353,1,97,48,8
odmowa,200,39,kobieta,16,540,0,182,48,0
splacona,600,62,kobieta,13,3251,0,136,48,0
splacona_cz,521.49,62,kobieta,13,1525.46,1,33,48,4
windykacja_sp,200,26,mezczyzna,11,1136.8,1,6,48,191
splacona_cz,800,62,kobieta,13,3700,1,23,48,0
splacona_cz,200,63,mezczyzna,13,1538,1,99,48,0
splacona_cz,200,73,mezczyzna,13,957.2,0,196,48,0
splacona,300,26,mezczyzna,11,1459,1,6,48,9
splacona_cz,500,44,kobieta,11,3000,1,91,48,4
splacona,300,71,kobieta,13,2100,1,159,48,0
splacona_cz,200,54,kobieta,11,1400,1,115,48,1
splacona_cz,600,67,kobieta,13,2120,1,117,48,3
splacona_cz,300,39,kobieta,12,1027,1,5,48,0
splacona_cz,700,58,kobieta,13,1801.41,1,34,48,0
windykacja,300,35,mezczyzna,12,1017,1,54,6,2673
splacona_cz,200,51,mezczyzna,12,1030,1,6,48,3
splacona_cz,400,63,mezczyzna,13,1193.65,0,6,48,0
splacona,200,49,kobieta,12,2000,2,31,23,0
splacona,800,46,mezczyzna,11,2000,0,48,48,0
splacona_cz,200,68,kobieta,13,803.86,1,156,48,0
splacona_cz,400,72,kobieta,13,1412,1,203,48,0
splacona_cz,600,40,kobieta,98,5000,0,82,48,2
splacona_cz,275.97,40,kobieta,11,1000,1,58,48,5
splacona_cz,200,50,mezczyzna,16,1045,0,198,48,1
splacona,500,21,mezczyzna,17,1896,1,31,2,0
splacona_cz,300,38,kobieta,11,1200,1,189,48,2
splacona,900,34,mezczyzna,12,1500,0,30,6,0
splacona,200,60,kobieta,13,1425,1,77,48,1
splacona_cz,200,55,kobieta,16,2300,1,60,48,0
splacona_cz,400,53,kobieta,11,2800,1,57,48,0
splacona_cz,498.47,31,kobieta,12,1600,1,11,0,5
windykacja_sp,200,67,mezczyzna,13,1674.77,0,67,48,214
odmowa,300,51,mezczyzna,13,995,0,170,48,0
splacona,500,52,mezczyzna,11,2011,0,211,48,42
splacona_cz,450,47,mezczyzna,12,1574.45,0,28,7,5
odmowa,200,51,kobieta,16,634.64,0,18,48,0
splacona_cz,400,39,mezczyzna,11,1261.98,1,33,48,6
splacona_cz,400,59,kobieta,13,1149.06,0,160,48,0
splacona_cz,400,62,mezczyzna,16,1313.41,1,24,48,1
splacona,200,61,kobieta,13,1200.29,1,19,48,0
splacona_cz,326.61,39,mezczyzna,11,1300,1,42,48,0
splacona,200,62,kobieta,13,985.9,0,88,48,0
splacona_cz,400,39,kobieta,12,660,1,8,30,2
odmowa,300,18,mezczyzna,17,540.62,0,3,18,0
splacona_cz,200,64,kobieta,16,755.1,0,133,48,0
odmowa,300,68,mezczyzna,13,1079.14,0,116,48,0
splacona_cz,381.29,65,mezczyzna,13,1591,1,74,48,0
splacona_cz,200,62,mezczyzna,13,1162,1,221,48,0
windykacja_sp,400,52,mezczyzna,11,1600,1,269,48,425
splacona_cz,250,40,mezczyzna,12,700,1,6,18,0
windykacja,400,60,mezczyzna,11,1250,1,103,48,2671
splacona_cz,500,56,kobieta,11,2249.14,1,241,48,7
odmowa,400,78,kobieta,13,1517,0,134,48,0
splacona_cz,400,64,kobieta,13,1013.74,1,111,48,0
splacona_cz,400,58,kobieta,11,1500,0,83,48,0
splacona_cz,600,53,kobieta,12,1675,1,6,5,3
splacona_cz,700,60,kobieta,13,5100,1,25,48,0
odmowa,1000,40,kobieta,11,3500,0,241,48,0
splacona_cz,200,51,kobieta,11,1617.68,0,83,48,2
splacona_cz,1000,55,kobieta,16,2300,2,60,48,0
odmowa,300,45,kobieta,13,601.03,0,306,48,0
splacona_cz,400,63,kobieta,13,1233,0,121,48,0
odmowa,400,68,mezczyzna,13,940.49,0,261,48,0
splacona_cz,500,62,mezczyzna,13,1768.93,1,270,48,4
splacona_cz,400,46,kobieta,11,3170,1,286,48,4
windykacja,300,23,mezczyzna,11,1037.34,0,30,48,2670
splacona,400,39,kobieta,11,1239.05,1,204,48,10
splacona_cz,396.61,53,kobieta,12,2000,1,6,20,3
windykacja,300,49,mezczyzna,13,814.83,1,156,48,2670
odmowa,200,66,kobieta,13,832.92,0,138,48,0
splacona_cz,500,72,kobieta,13,951,1,161,48,0
splacona_cz,281.29,55,kobieta,12,1350,1,19,5,0
windykacja,650,34,kobieta,11,1065,1,56,48,2670
odmowa,650,63,mezczyzna,11,2600,0,134,48,0
splacona_cz,600,47,mezczyzna,11,1800,1,124,48,6
odmowa,200,22,mezczyzna,11,1037,0,33,48,0
splacona_cz,250,64,mezczyzna,16,633.56,1,109,48,1
windykacja,200,36,kobieta,12,1037,0,0,2,2668
